a[27],b[18],c[48],result[27]
6f48000,04340,0000190e7efa,7fdcd0c
2e00000,33c40,0000190e7efa,7ee68f7
6510000,24b80,0000190e7efa,016f653
2b60000,3a800,0000190e7efa,7f88ab7
6fb0000,25a00,0000190e7efa,00d7127
7720000,1cdc0,0000190e7efa,7f7fe33
5478000,02680,0000190e7efa,7fcb93d
0840000,31400,0000190e7efa,7fc31b7
1ef8000,3a0c0,0000190e7efa,7fa3c54
5b60000,3a040,0000190e7efa,006d8a3
1588000,067c0,0000190e7efa,0045c26
57d0000,2e540,0000190e7efa,01630b9
4060000,15980,0000190e7efa,7d50fff
3078000,18d40,0000190e7efa,0259a52
1da0000,20380,0000190e7efa,7e2930f
4890000,373c0,0000190e7efa,00f2ec5
11c0000,2cf00,0000190e7efa,7f56c57
67d0000,0efc0,0000190e7efa,7f4abbd
1bc8000,2bc00,0000190e7efa,7ee6aa7
2a38000,25b40,0000190e7efa,7dd4d72
4338000,2e500,0000190e7efa,02197c3
3068000,034c0,0000190e7efa,004fbee
60b8000,06380,0000190e7efa,7f9eaf9
0ce8000,0cf00,0000190e7efa,0053703
6f58000,0e780,0000190e7efa,7f87741
1498000,2f480,0000190e7efa,7f53ccd
4810000,0bf40,0000190e7efa,7eb1a31
3a90000,2bac0,0000190e7efa,7dacb7d
7280000,0a000,0000190e7efa,7fbc737
51e8000,1ec40,0000190e7efa,7d3ae64
0ee8000,076c0,0000190e7efa,0037446
2318000,1d280,0000190e7efa,01ff8d5
04b8000,03d80,0000190e7efa,0009051
39c8000,26d80,0000190e7efa,7d292bd
0fa8000,29c40,0000190e7efa,7f51e5c
5bf8000,33ac0,0000190e7efa,00de0cc
5110000,25040,0000190e7efa,02793d9
0820000,38e40,0000190e7efa,7fe311b
7df0000,2f2c0,0000190e7efa,00114e1
2808000,28a80,0000190e7efa,7e2cb61
3e80000,15e00,0000190e7efa,02ab8b7
1c60000,3fe00,0000190e7efa,7ffe2d7
5f70000,01ac0,0000190e7efa,7fe4bb1
6088000,11b00,0000190e7efa,7ee9a63
6730000,16a80,0000190e7efa,7ee6df3
3278000,3f780,0000190e7efa,7ff28b9
0e48000,27340,0000190e7efa,7f4ee2c
0830000,14500,0000190e7efa,00531af
22b8000,00580,0000190e7efa,0005eb1
53a8000,30480,0000190e7efa,015c771
49b8000,29a00,0000190e7efa,025f38f
3520000,2ad40,0000190e7efa,7dcd92b
4ac0000,10100,0000190e7efa,7e54497
2af8000,04f40,0000190e7efa,006a5da
41e0000,296c0,0000190e7efa,02bd48b
6ce0000,23540,0000190e7efa,0112203
7458000,29040,0000190e7efa,0085e82
2448000,19740,0000190e7efa,01cdafc
06b8000,07cc0,0000190e7efa,001a24c
2658000,1c100,0000190e7efa,0219f63
7cb8000,36800,0000190e7efa,000f897
6710000,14900,0000190e7efa,7eff8ff
6340000,21d00,0000190e7efa,01b1e57
0900000,2f080,0000190e7efa,7fb3977
1f90000,16f40,0000190e7efa,016a2e1
6938000,39780,0000190e7efa,004a589
2468000,0f680,0000190e7efa,0118649
4998000,2ad40,0000190e7efa,023fe46
57a8000,00d80,0000190e7efa,7feeee5
20e8000,14fc0,0000190e7efa,015935a
1ff0000,1fa40,0000190e7efa,01f9365
09b0000,03440,0000190e7efa,000fc4d
4088000,09800,0000190e7efa,7ed2797
22e0000,24e80,0000190e7efa,7e2780f
5370000,0ccc0,0000190e7efa,7ee2d21
74a0000,3e680,0000190e7efa,000903f
42c0000,3f1c0,0000190e7efa,001b39f
4e98000,3fe00,0000190e7efa,000309f
7aa0000,0d8c0,0000190e7efa,7fdb8b3
18c0000,24d00,0000190e7efa,7eaf817
5da0000,2df80,0000190e7efa,0135dcf
6cb8000,16000,0000190e7efa,7f2bdb7
5808000,38780,0000190e7efa,0096755
59d8000,28dc0,0000190e7efa,01b96e4
7778000,002c0,0000190e7efa,7fff37c
4b50000,2dc80,0000190e7efa,01dfe6b
72e0000,33d40,0000190e7efa,004fd43
62b8000,0e9c0,0000190e7efa,7f2a0f8
1570000,27240,0000190e7efa,7ef57d5
2ce8000,38040,0000190e7efa,7f4cad4
5300000,1c340,0000190e7efa,7d85617
3e60000,1ee00,0000190e7efa,03c2dd7
75a0000,0f080,0000190e7efa,7fb1f9f
0180000,160c0,0000190e7efa,00107c7
4ca0000,3ad00,0000190e7efa,0085347
2440000,09300,0000190e7efa,00a6797
60d8000,27a80,0000190e7efa,017b2e5
34c8000,23cc0,0000190e7efa,7d17a72
4270000,313c0,0000190e7efa,01c6749
5650000,04ec0,0000190e7efa,7f995c5
5f58000,10c80,0000190e7efa,7eedf1d
6118000,12b80,0000190e7efa,7edeb01
67f8000,28200,0000190e7efa,011ed2f
7c90000,2be40,0000190e7efa,0022839
0030000,1d9c0,0000190e7efa,0002ba1
57a0000,3ffc0,0000190e7efa,0000443
6708000,3c540,0000190e7efa,002dcac
6b40000,228c0,0000190e7efa,013186f
5d30000,1ac40,0000190e7efa,7e2e0fd
6048000,1ce40,0000190e7efa,7e35c38
0f38000,2c7c0,0000190e7efa,7f6b730
78b8000,145c0,0000190e7efa,7fb5d48
2228000,0ca40,0000190e7efa,00d7d44
46e0000,06a00,0000190e7efa,7f42b97
4348000,00d80,0000190e7efa,7fe655d
17a0000,31c00,0000190e7efa,7f579f7
37f0000,0ec80,0000190e7efa,019d5d3
7940000,1ff80,0000190e7efa,7f940e7
1240000,27b00,0000190e7efa,7f22197
0030000,23e80,0000190e7efa,7ffd513
7660000,12800,0000190e7efa,7fa6eb7
2b88000,1c080,0000190e7efa,0262119
03d8000,20440,0000190e7efa,7fc2f62
4750000,31c40,0000190e7efa,0193681
3d50000,2e0c0,0000190e7efa,7dd9935
0e90000,3afc0,0000190e7efa,7fdb6e5
08e0000,27780,0000190e7efa,7f9317f
5020000,10980,0000190e7efa,7e72bcf
3778000,13500,0000190e7efa,0217923
5b40000,17240,0000190e7efa,7e56bdf
6b78000,39880,0000190e7efa,00425b5
51f8000,32780,0000190e7efa,0137619
6e20000,1eb00,0000190e7efa,7eedae7
6770000,20980,0000190e7efa,0181a8b
5b48000,26140,0000190e7efa,01dbdc4
1860000,0a840,0000190e7efa,00801c3
5518000,1c800,0000190e7efa,7d9c897
3928000,32940,0000190e7efa,7e80610
64b8000,19bc0,0000190e7efa,7ea0eb0
74a8000,22fc0,0000190e7efa,00a4862
2f98000,1db00,0000190e7efa,02c26bb
5f98000,32400,0000190e7efa,00debe7
18e8000,33b80,0000190e7efa,7f6702d
2a10000,14a40,0000190e7efa,01b20c9
6bb0000,26840,0000190e7efa,0102c6d
3580000,055c0,0000190e7efa,008f507
0ba8000,25540,0000190e7efa,7f64810
15a8000,337c0,0000190e7efa,7f786e2
5de8000,0a140,0000190e7efa,7f54268
5f60000,1e540,0000190e7efa,7e11393
4578000,2bc00,0000190e7efa,0250947
5148000,27f00,0000190e7efa,0232093
6fa0000,2f800,0000190e7efa,00870b7
4f08000,36280,0000190e7efa,00f0f81
6350000,06d00,0000190e7efa,7f9e3bf
2c00000,14e80,0000190e7efa,01cbe37
3d90000,10140,0000190e7efa,01eedb1
1ca8000,26280,0000190e7efa,7e8da89
43f0000,19d80,0000190e7efa,7cf7d4b
4e68000,32000,0000190e7efa,015b1b7
